category,location_type,context,outcome_status,persistent_id,id,location_subtype,month,latitude,longitude,street_name,year
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",a79064d8bbf183ed7e4f73177eb409f36062c2176d6707e7cbc71aec2c4d7dd1,131640780,,10,52.639916,-1.15085,On or near Empire Road,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",9fe1af21c7fa29ed6c85ed36a3d4d5259219a40c2fcabf6be9ce45631a0b4942,131628201,,10,52.587845,-1.206411,On or near Bantlam Lane,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",945729e448b4a6895af031cf725a5cabce4117477e47bed824fdb9a141433d9f,131628873,,10,52.624245,-1.159396,On or near Wilmington Road,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",2686973dd67a1fb221d37014624417637c505e5d3ec7d6d82996c37b985bdca6,131624141,,10,52.641881,-1.1706,On or near Perth Avenue,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",f7d9823b46ffb205f18790d74c08521e90ea74f7f9f61e687dc9d8c148eec87a,131642787,,10,52.659579,-1.161188,On or near Scalpay Close,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",9a12f8fd0c3951754c99302bee208ca230dea9c1074072f6bec086309c11dd41,131625447,,10,52.631032,-1.197031,On or near Golf Course Lane,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",50121494a4176c738d7bde775632ad5a8a0dd5d5a1fadde72d3b341205f76e95,131631425,,10,52.566553,-1.196572,On or near Goodman Close,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",1de8c7f049dabe56c0326501f395284c37bb2adb1677626af9df744febb9764a,131642807,,10,52.639916,-1.15085,On or near Empire Road,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",cecff9ad82dba554e2706cff6070d7a55cc4d7a2cd743850b7e3ff036931d837,131639939,,10,52.624479,-1.150676,On or near Stuart Street,2025
criminal-damage-arson,Force,,"{'category': 'Unable to prosecute suspect', 'date': '2025-10'}",19fcb5af61a6afc902e12d318e34cc0f52ca5daf06a51c158cc5b2ee58bc832c,131635253,,10,52.752598,-1.201644,On or near Bobbin Drive,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",d1e9e10eb3f42e15e5440d60fde6b222b16591a592cb41f00ed0f1bcfd8521e6,131641952,,10,52.589225,-1.133939,On or near Dorset Avenue,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",ae3359ed44cb0e5fd4454c8e679cf6ce32d0889a30b68f769baa39c48439f110,131628761,,10,52.756178,-1.193977,On or near Hyacinth Close,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",db8f6d611c3088c0680279b5a2b6aac6c52c2ac118710268ed641892581e5ff7,131629134,,10,52.583931,-1.132863,On or near Worcester Drive,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",c850521c0e0960ede481297a2568f0d00548e10331ea895374b8975347751e21,131630128,,10,52.623756,-1.220683,On or near Penny Long Lane,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",f3b0f2848748d440f63b573b61908cd266369982129933a71fee774c7e8667c6,131628768,,10,52.596145,-1.138586,On or near Cottagers Close,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",552d164603834e42c71fd57890fdab1b739c21a95d8510598dab4ec6fa4961d5,131629959,,10,52.564475,-1.179275,On or near Hunter Road,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",c2e59668698bfd47f84887c2e10e3d3a12886df3106bbb0c6e1f7d02581bb9ee,131640174,,10,52.622022,-1.193961,On or near Woodland Drive,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",e392ff0316e60c53b70ae575c2486261b17d3a680c6e78457cf6eca380ada60c,131629585,,10,52.603897,-1.138966,On or near Saffron Lane,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",1e5f77e9f02fffeda993c0e0924d4e38de3d5de23fa73301d366c5a7eb8bb330,131640651,,10,52.77027,-1.19348,On or near Judges Street,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",585b8fdd4154a86e383ac32819e8b3dd9a34c293ab866900347b2291c6245272,131630403,,10,52.756178,-1.193977,On or near Hyacinth Close,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",d7d1b02a9ce0caea29826746f614af7555a34141f2b724c5797e740aa578b9a0,131629475,,10,52.671783,-1.165642,On or near Paterson Close,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",16a790de5acba71da44285abf90e8987a4d4f42d8b5477b3dab8844075078b4b,131643240,,10,52.459705,-1.212661,On or near Hazel Drive,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",3c42027be83c4a71f67711589e475615460562973cff2c7581b7a88dc54d4dfc,131642920,,10,52.658079,-1.165164,On or near Milton Crescent,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",b06641f10591b49b5bce8e2d93f4c82ec3a8fd44d5425f937b8176cbc84019da,131623877,,10,52.593915,-1.148491,On or near Camfield Rise,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",3518b8383a40de1a36bbb0497972e36e046a655245b738bb653e92ddee881e7c,131635962,,10,52.630723,-1.152623,On or near Livingstone Street,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",1675c5da195ba6be95d0232fc6f890d6f8de34a5f3156bceaaf35a2fdbb592c3,131629146,,10,52.633294,-1.151362,On or near Norfolk Street,2025
criminal-damage-arson,Force,,"{'category': 'Offender given a caution', 'date': '2025-10'}",b545a483f407811439dcec98dff37d94287ca14175988592fa9fbc6e5d8a2cb0,131628729,,10,52.631902,-1.162884,On or near Frampton Avenue,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",eab6a71892b21f0b69edc37248cacd54bb71e5ae3e4954cb93723bde636cefc7,131629073,,10,52.643497,-1.160062,On or near Comet Close,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",f883bf36ec9285ca409a7534ae08cf3305749611ba3845453ca51b6b658729b0,131628170,,10,52.642879,-1.183513,On or near New Parks Boulevard,2025
criminal-damage-arson,Force,,"{'category': 'Unable to prosecute suspect', 'date': '2025-10'}",e86fe0fa689bd55cf99553b856cd791c9771905d28ca8c4086abf471e2bbde60,131628889,,10,52.624245,-1.159396,On or near Wilmington Road,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",9e91676dfa7d25bdfecd7f0d4441384c09057b44845143ccee8890f1592e3716,131622567,,10,52.623733,-1.146967,On or near Watkin Road,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",1809f87b1927eeda51e13399e5ee9efa30c6003f98f710ae59f834ae98ddcf01,131626656,,10,52.633347,-1.15869,On or near Bolton Road,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",95a9ba9227ce46bc6692146c27fea48b49a13bdf5a5130025364ef3fc4e39b88,131627504,,10,52.632588,-1.149351,On or near Andrewes Street,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",a374aec8a41d20a3e78e73f1c4eb1a12d5004a4654ddd96a05678b58831916af,131637720,,10,52.572732,-1.240622,On or near Cheney End,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",5ca70396d8dc7a5d55b3806edc8e337e2903738c626d5f0bba577ce3cf144615,131625949,,10,52.590819,-1.149142,On or near Sturdee Road,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",04ac7e6f90dfd71622c7f0b4590f9a9c6390b91c2905b159ac3d34e0ee8e4b26,131623695,,10,52.598645,-1.180497,On or near Shopping Area,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",229b2fd0ae665a1e04bd2ecda6b13bf5c925649ede29727915a7d1cee2dcfe4c,131644882,,10,52.641398,-1.195748,On or near Pennant Close,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",c4d18269ce6d6c34660b522941b65cf4b56230b0a5d9de1f196822e42b25a717,131628935,,10,52.625559,-1.14838,On or near Sheffield Street,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",455ac00fced512434564faf07ed1e69514c5255ac0e4c0da0b357202937cc957,131630061,,10,52.660705,-1.15642,On or near Bishopdale Road,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",c6a8b3a55d99aa299cd234de320454b7668be62412f2bd667cbda2ee73c08f64,131622630,,10,52.659603,-1.165933,On or near Leysdale Close,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",673f7e38f602b0c8fa46465755a648f31be434b9773fb7c85ecf418d2d6c42b5,131624092,,10,52.643714,-1.161491,On or near Phoenix Close,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",33a479ba218978e3dfb4e4629c343d262746bf1245534b103b10bc8ad7c3aeb9,131645062,,10,52.630696,-1.148812,On or near Cranmer Street,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",e332fdf2db75c42491a4f45b033e780878f5ae27f808a096ca69000a635eb745,131638687,,10,52.588282,-1.157708,On or near Michael Ramsey Court,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",dfa633802717daf448cb030ce66362908134abc06ab7aa99e27a2f3e215b33dc,131638706,,10,52.589682,-1.156116,On or near Ebchester Close,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",8df77e409f6d21bc72422e7ecea53232d15609cd6e4fcadf9190a45b83103637,131638126,,10,52.660294,-1.181208,On or near Billesdon Close,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",39546114d7540d386feee146b857f82d968893506372dc07aa0b93b28b79a79d,131638646,,10,52.621735,-1.152945,On or near Danvers Road,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",86a008e9634156ff0cfdb2ab3c80c96de3f91812830b7fdaf14af73be394455e,131629572,,10,52.635292,-1.184999,On or near Park View,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",c10b54bb5a484ac9915cf1839e441c28242445d2bed7568fb2df93d03bbcd1a5,131638441,,10,52.624245,-1.159396,On or near Wilmington Road,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",1ba1389597cdb6cf2c2d1a101b29c157bdd415152ae7af6aac9c298acd09e2cd,131629527,,10,52.596731,-1.177979,On or near Shopping Area,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",dd244bd1b03a7e80979e0f54260bdd73884a9854afa1461dce42df6e5c3b4945,131637499,,10,52.616693,-1.16954,On or near Caldecote Road,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",f6561665e9eab8338a6037436f209d51e446d17f1af4d690c5ffc0f62a9f8818,131632216,,10,52.652823,-1.186329,On or near Gallimore Close,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",a83f686738bd50b5d576352c61afe8b53821fd4fb720d173959d818ce7cfea50,131634610,,10,52.62509,-1.198425,On or near Aspen Court,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",8abeb9da2e570884b4bcc0778bfae42be94d7486498515fb833a58f089bd6a47,131625787,,10,52.624789,-1.231596,On or near Centurion Drive,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",4d7a32fed5dbea4ee00a155f6a1177d1508b51f4a41f8cec596dc691201a842e,131636778,,10,52.588426,-1.203331,On or near Kirk Lane,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",f9088ce2b2dfd0c77fa6733c2f9f5a86d36bfce8a8e0b7e62fc991fe8710e94c,131625139,,10,52.585062,-1.209768,On or near Hayes Gardens,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",fbcaaab32eacd231773ca2bfb7f79e27232081b1820afdc51e851bd20f824e9e,131636160,,10,52.585941,-1.168719,On or near Needham Avenue,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",504c75b2ddca677579875278e988bdc1a7bb3ca6675ab81ba48b7c221679a779,131633427,,10,52.64573,-1.155467,On or near Culver Road,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",88a669e4c77f641237c511ef26644ecf726472d2e189e5bd754591b3c021e31c,131643791,,10,52.633294,-1.151362,On or near Norfolk Street,2025
criminal-damage-arson,Force,,"{'category': 'Unable to prosecute suspect', 'date': '2025-10'}",0e5fb15c3cf6df06bf46388cd599a88fa16093f937231c84699244a669c5f4eb,131627974,,10,52.639902,-1.162791,On or near Marvin Close,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",221e09a0c7ebb917f27e3418aecf83f85d75683ea08dd053ffb5f75b0a2f879a,131622847,,10,52.674299,-1.168094,On or near Peregrine Rise,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",08590071bab8d8713d1ddb23c8530ce6195db2a6fdc402c6388148a5211744ce,131627116,,10,52.589781,-1.141146,On or near Saffron Lane,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",3b51cd41175c7d355757d5ed4a7666e334b4a9b24b77982caf9a6c679b8f3106,131631418,,10,52.652823,-1.186329,On or near Gallimore Close,2025
criminal-damage-arson,Force,,"{'category': 'Offender given a caution', 'date': '2025-10'}",4b6fc4158d8884cd1b819e4f5d3f5dc8a0c02226d26885b053b81b97cc0df597,131639332,,10,52.670677,-1.173294,On or near Heatherbrook Road,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",5c9415d79f9a13f4c55318d7a3a73d8c293d42176df93ccd4448cc2ede325c9a,131622919,,10,52.46664,-1.211713,On or near Valley Lane,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",3ddd9bcfd0c11921f65377f91c4088408653445481fd493b1960ce947922596d,131622428,,10,52.631968,-1.181308,On or near Oswin Road,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",736440c749440f28d7107ff9eb06fa8ac1d464368de183774228ba796a5849f6,131628072,,10,52.594288,-1.139154,On or near Pen Close,2025
criminal-damage-arson,Force,,"{'category': 'Unable to prosecute suspect', 'date': '2025-10'}",9705b4a1a28fc12f4dc4e9b002563b01a348eb54ebd870e8f35f0bdef378dedb,131623013,,10,52.64417,-1.200175,On or near Alliance Road,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",7de3e42e6b1afce4d1d02bdf6fdf279114e3d43765a6a0b1a0c01d4c9b617fce,131636677,,10,52.758759,-1.203443,On or near Woodthorpe Avenue,2025
criminal-damage-arson,Force,,"{'category': 'Unable to prosecute suspect', 'date': '2025-10'}",346f56482d3561d208f6b18281e320a448e5f120cad632bfaf9663d54976d017,131639685,,10,52.752598,-1.201644,On or near Bobbin Drive,2025
criminal-damage-arson,Force,,"{'category': 'Unable to prosecute suspect', 'date': '2025-10'}",9ad3c0d62869758e3123297780d374dadbdeeae74d347bb0e2ba738d13e8706f,131641550,,10,52.626305,-1.163479,On or near Guthridge Crescent,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",0c586688a254b5a4efa55c9a6ccb591afcc2da5c5b56cb035aa8dfb8ab637278,131641085,,10,52.642494,-1.155544,On or near Swannington Road,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",60eea491c54c8d7e79a61d0aafb1476f88d3f7f3be94cae15e811e4060420db7,131626351,,10,52.586176,-1.210884,On or near Shortridge Lane,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",eb27894d3b64d3c05fd04b46a5d167691be9a83e26c57483592acbdb32f60bc1,131639961,,10,52.648399,-1.179715,On or near Keightley Road,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",8c6425c4a6d3532908b9f3d19d2326a0efcc4d1bd1560d35c9fc4c5c7f658be7,131623450,,10,52.462434,-1.207902,On or near Acacia Avenue,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",71313fff62d3329f1b958d8b251b5a94843e48d224932cc063329bc4794ef36c,131640013,,10,52.640253,-1.160285,On or near Sports/recreation Area,2025
criminal-damage-arson,Force,,"{'category': 'Action to be taken by another organisation', 'date': '2025-10'}",0a4f27ebe0f191b584ecf3cf91acaeaf6d30454d317be21d10ba0e642ae44587,131626875,,10,52.585782,-1.208559,On or near Salt's Close,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",060689f48370df27052c805d8b3254bb9ff57077c2f2b68d0a978dec832d49f5,131642199,,10,52.752598,-1.201644,On or near Bobbin Drive,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",de4091c6237f8cc64e4317d0728abe1cb385a9e705a127690324999f71f54b93,131624998,,10,52.649551,-1.17214,On or near Hodgson Close,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",0463dde72a24aa125a0633dcd1eb847a51759f46ca8f22f8aeba34acfe0045d0,131623020,,10,52.648399,-1.179715,On or near Keightley Road,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",c4405ae954b5c15924e52051746a812b3b99fdf796750429f2e0f2b5f989f716,131641277,,10,52.633294,-1.151362,On or near Norfolk Street,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",9b370689b12f8d150c65745bd72d490fe6ef736d0a7c279d82d8dfa39ce496b7,131626611,,10,52.645737,-1.212621,On or near Birch Lane,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",32e5df947e99353512e1df3883ec5c729074704ccd30cdc1833245595a8a289d,131626644,,10,52.63961,-1.16086,On or near Sandhurst Road,2025
criminal-damage-arson,Force,,"{'category': 'Unable to prosecute suspect', 'date': '2025-10'}",391766f455b27c84f65489e523a4fbfb28a757d31200314bcd05354806e3fa8a,131625040,,10,52.651681,-1.178427,On or near Groby Road Gardens,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",b9b85f9ff3fa796560c76a3698aa95a8310c5bbd6e83713f8593dd151665ca0d,131641751,,10,52.658167,-1.158613,On or near Malham Close,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",f7eddf621a410913f05c0b08c9db431f957b360c4db0d7bc85686708f98ae886,131644004,,10,52.762555,-1.201165,On or near Humphrey Close,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",e3da154dac5c1d289fe0452bd469cc04636fc20d9bc41c3fc26c577ef487a86d,131644244,,10,52.628078,-1.157358,On or near Sykefield Avenue,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",8294c66e0ea8ecdebd2dfe8beef1dd827e24b964ad89c783304dc2afe9acb2b1,131641943,,10,52.589225,-1.133939,On or near Dorset Avenue,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",fa293582c5c9fbcaa3e3e4f17a38dd53c8dceccf34e115df7ea38298360614f8,131643519,,10,52.769073,-1.201224,On or near Gregory Street,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",d654cb6ff1372b5da24bf8f0afd88c4d7317904b7e72392951b2228363bacc1c,131632507,,10,52.592943,-1.155876,On or near Sturdee Green,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",9ae427c1c04402d55ade600e6992cd84e819e68a661c81076c75544f5e592693,131632292,,10,52.625559,-1.14838,On or near Sheffield Street,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",7e51589073549ae603b24b9d0290759cc134ba7fbb1c40716315b9e26d5b51c7,131633329,,10,52.624683,-1.182138,On or near Cort Crescent,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",6699a762e063c1de85835b6fff665e4c239abaa60eadbe95c47b6072581fcaa3,131627887,,10,52.548777,-1.196144,On or near Park Close,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",97a3ca82f3b0d84a5c0dcc7a763b0895506e9532346575d0ab56cad9fc8fbc51,131632129,,10,52.632832,-1.148327,On or near Dane Street,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",ba240d21efef9d3e49f4eef39abab181a40bfb0a1adbef0efdae904ff90f803a,131631951,,10,52.611227,-1.226694,On or near Deveron Drive,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",f92df7092e9ff7c2d5f1c3003e69a5e90d397a2b01c076365e9a9590c14b09ef,131633483,,10,52.574484,-1.198183,On or near Alexandra Street,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",9334272e399de7222fb0ad562227f33fa65cf1d1ac21fd204955e792e9b15bca,131631943,,10,52.606724,-1.17094,On or near Gwencole Crescent,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",f82038857ec5623e929b8c05216dc8076c31c0e03cde91fa56c3a3abd2a1f2e3,131629824,,10,52.620552,-1.152155,On or near Lambert Road,2025
criminal-damage-arson,Force,,"{'category': 'Unable to prosecute suspect', 'date': '2025-10'}",aec7fb19dc5399d649160744284a332352c303b1a9e11e51db6a1ecbc5f5838b,131633685,,10,52.632985,-1.152092,On or near Fosse Road Central,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",e08fc43d6ae2ffb8ef1fa368dc0be1f413dece5f2831e18ec5a7710461c7067e,131640245,,10,52.631968,-1.181308,On or near Oswin Road,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",50f2a06cd57d5286d47f1ae6664bc8a202b93a7fba72c804f321f65f2e995262,131634945,,10,52.627018,-1.188329,On or near Gallards Hill,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",b866ea463f79ac162f834eb4713d31531a3ebd6990f3ffbe069f315a3be87fb1,131632684,,10,52.5646,-1.198894,On or near Plough Road,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",c20354dbc950d177887b942d8e8aff8df715bd44b73af98b15a66c3aee031417,131642567,,10,52.627449,-1.153573,On or near Cambridge Street,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",7e81b86ed7dbe007ec86571fe8ce4e7aa4e765e2eff5e63ec76879f637724b3f,131634635,,10,52.658218,-1.163254,On or near Balisfire Grove,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",7aeb6c4a357deaff6d6fd9a8320a1943b91ee9640d1c917bcefdaa8186e9c0c2,131626463,,10,52.618331,-1.168549,On or near New Fields Avenue,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",60d9ec1693ba6f864a5573839ebfa8de634d17f0198180962df445892df370c1,131633520,,10,52.620433,-1.159469,On or near Harlaxton Street,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",dc2848cd2337bdc6b1d15204ba39a2772ea21d27e06eacf45ae26a6e0ad1e9a6,131633514,,10,52.57563,-1.15736,On or near Mill Lane,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",b345a770b07993e2a800f31bdada0fbc02af8df2418877301b26a3be8df3298b,131630498,,10,52.578423,-1.143095,On or near Richmond Drive,2025
criminal-damage-arson,Force,,"{'category': 'Unable to prosecute suspect', 'date': '2025-10'}",69daac8ebee53de3f26c28363c933686cc65462adbf6db3d0f8136af02b1f61b,131625476,,10,52.652823,-1.186329,On or near Gallimore Close,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",21e7db004eea51fa6609e02e43d698d103dd60a3e49e4afc1029f08f24e554ec,131630602,,10,52.601558,-1.159949,On or near Marsden Lane,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",3e0eed479bf7b787bfee3e5b12359babd14ac3696c5ec29c2b4f7cc8b5bdff95,131626166,,10,52.681608,-1.177126,On or near Abbots Close,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",507fd02a66da4fcc8e826f976a9b18149cce59cf9637ded9f13c6d1b6657674a,131637813,,10,52.62442,-1.211068,On or near Grange Avenue,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",808aa118d5b09b3718ecb36b554c09702feb00827f4ba6d69b7ccae8a49d80a0,131645568,,10,52.770336,-1.200504,On or near Rutland Street,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",91bda36cf7050c7c2a2acdc5f9045314feff7e14e26167d56de0c4359017c78a,131634112,,10,52.628096,-1.172678,On or near Winstanley Drive,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",5697bb2cb45917d8996dab20f43a823e7af46387ec1e0395cf7eb5b9872d7510,131634424,,10,52.602703,-1.178354,On or near Fosse Close,2025
criminal-damage-arson,Force,,"{'category': 'Under investigation', 'date': '2025-10'}",bb6d7ce53af8d96ca1a06921eeff290902025f3b0a44d0ec79dbfaadae9e5600,131645669,,10,52.624871,-1.157671,On or near Winchester Avenue,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",51365dd6629b604322a8659656d04f6c2e938645e3caa22b79dd018bf4398b7b,131634844,,10,52.625559,-1.14838,On or near Sheffield Street,2025
criminal-damage-arson,Force,,"{'category': 'Unable to prosecute suspect', 'date': '2025-10'}",0b5d3408f21537b035f9a43b35e18926ed3ab41f183eee149e24f234a621b6f5,131635631,,10,52.639521,-1.152217,On or near Fosse Road North,2025
criminal-damage-arson,Force,,"{'category': 'Investigation complete; no suspect identified', 'date': '2025-10'}",11538cb6bb41a11c2b4673945b3c24735354c996a86a20d0a275cc712753b0b2,131635665,,10,52.623221,-1.15203,On or near Ivy Road,2025
